File,0,DTCreated
sql/catalyst/src/main/scala/org/apache/spark/sql/catalyst/catalog/SessionCatalog.scala,SPARK-29911,2019-11-15 07:01:00
sql/hive-thriftserver/src/main/scala/org/apache/spark/sql/hive/thriftserver/SparkSQLSessionManager.scala,SPARK-29911,2019-11-15 07:01:00
sql/hive-thriftserver/src/test/scala/org/apache/spark/sql/hive/thriftserver/ThriftServerQueryTestSuite.scala,SPARK-29911,2019-11-15 07:01:00
sql/core/src/test/java/test/org/apache/spark/sql/execution/sort/RecordBinaryComparatorSuite.java,SPARK-29918,2019-11-15 16:58:00
sql/core/src/main/java/org/apache/spark/sql/execution/RecordBinaryComparator.java,SPARK-29918,2019-11-15 16:58:00
sql/catalyst/src/main/scala/org/apache/spark/sql/internal/SQLConf.scala,SPARK-29920,2019-11-15 17:32:00
sql/catalyst/src/test/scala/org/apache/spark/sql/catalyst/parser/ExpressionParserSuite.scala,SPARK-29920,2019-11-15 17:32:00
docs/sql-migration-guide.md,SPARK-29920,2019-11-15 17:32:00
sql/core/src/test/resources/sql-tests/results/ansi/interval.sql.out,SPARK-29920,2019-11-15 17:32:00
sql/core/src/test/resources/sql-tests/results/postgreSQL/interval.sql.out,SPARK-29920,2019-11-15 17:32:00
dev/lint-r,SPARK-29932,2019-11-17 04:30:00
.github/workflows/master.yml,SPARK-29936,2019-11-17 22:50:00
dev/lint-r.R,SPARK-29936,2019-11-17 22:50:00
R/pkg/R/DataFrame.R,SPARK-29936,2019-11-17 22:50:00
R/pkg/R/context.R,SPARK-29936,2019-11-17 22:50:00
R/pkg/R/SQLContext.R,SPARK-29936,2019-11-17 22:50:00
R/pkg/R/utils.R,SPARK-29936,2019-11-17 22:50:00
R/pkg/inst/worker/worker.R,SPARK-29936,2019-11-17 22:50:00
R/pkg/tests/fulltests/test_sparkSQL.R,SPARK-29936,2019-11-17 22:50:00
R/pkg/.lintr,SPARK-29936,2019-11-17 22:50:00
R/pkg/R/group.R,SPARK-29936,2019-11-17 22:50:00
sql/catalyst/src/main/scala/org/apache/spark/sql/catalyst/parser/AstBuilder.scala,SPARK-29951,2019-11-18 20:29:00
sql/core/src/test/resources/sql-tests/inputs/postgreSQL/text.sql,SPARK-29951,2019-11-18 20:29:00
docs/sql-keywords.md,SPARK-29951,2019-11-18 20:29:00
sql/catalyst/src/main/antlr4/org/apache/spark/sql/catalyst/parser/SqlBase.g4,SPARK-29951,2019-11-18 20:29:00
sql/core/src/test/resources/sql-tests/results/postgreSQL/text.sql.out,SPARK-29951,2019-11-18 20:29:00
sql/core/src/test/scala/org/apache/spark/sql/SQLQueryTestSuite.scala,SPARK-29951,2019-11-18 20:29:00
sql/catalyst/src/main/scala/org/apache/spark/sql/catalyst/parser/ParseDriver.scala,SPARK-29951,2019-11-18 20:29:00
sql/core/src/test/scala/org/apache/spark/sql/streaming/FileStreamSourceSuite.scala,SPARK-29953,2019-11-18 23:14:00
sql/core/src/main/scala/org/apache/spark/sql/execution/streaming/FileStreamSource.scala,SPARK-29953,2019-11-18 23:14:00
docs/structured-streaming-programming-guide.md,SPARK-29953,2019-11-18 23:14:00
common/network-common/src/main/java/org/apache/spark/network/crypto/TransportCipher.java,SPARK-29971,2019-11-20 08:42:00
common/network-common/src/main/java/org/apache/spark/network/util/ByteArrayReadableChannel.java,SPARK-29971,2019-11-20 08:42:00
common/network-common/src/main/java/org/apache/spark/network/util/TransportFrameDecoder.java,SPARK-29971,2019-11-20 08:42:00
sql/core/src/test/scala/org/apache/spark/sql/streaming/StreamingQueryStatusAndProgressSuite.scala,SPARK-29973,2019-11-20 14:11:00
sql/core/src/main/scala/org/apache/spark/sql/execution/streaming/ProgressReporter.scala,SPARK-29973,2019-11-20 14:11:00
sql/core/src/test/scala/org/apache/spark/sql/execution/datasources/json/JsonSuite.scala,SPARK-29999,2019-11-22 11:16:00
sql/core/src/test/scala/org/apache/spark/sql/execution/datasources/csv/CSVSuite.scala,SPARK-29999,2019-11-22 11:16:00
sql/core/src/main/scala/org/apache/spark/sql/execution/datasources/json/JsonOutputWriter.scala,SPARK-29999,2019-11-22 11:16:00
sql/core/src/test/scala/org/apache/spark/sql/streaming/FileStreamSinkSuite.scala,SPARK-29999,2019-11-22 11:16:00
sql/core/src/main/scala/org/apache/spark/sql/execution/streaming/ManifestFileCommitProtocol.scala,SPARK-29999,2019-11-22 11:16:00
sql/core/src/main/scala/org/apache/spark/sql/execution/datasources/text/TextOutputWriter.scala,SPARK-29999,2019-11-22 11:16:00
sql/core/src/main/scala/org/apache/spark/sql/execution/streaming/FileStreamSink.scala,SPARK-29999,2019-11-22 11:16:00
sql/core/src/test/scala/org/apache/spark/sql/execution/datasources/text/TextSuite.scala,SPARK-29999,2019-11-22 11:16:00
sql/core/src/main/scala/org/apache/spark/sql/execution/datasources/csv/CsvOutputWriter.scala,SPARK-29999,2019-11-22 11:16:00
sql/core/src/test/scala/org/apache/spark/sql/execution/command/PlanResolutionSuite.scala,SPARK-30001,2019-11-22 12:14:00
sql/catalyst/src/main/scala/org/apache/spark/sql/connector/catalog/LookupCatalog.scala,SPARK-30001,2019-11-22 12:14:00
sql/catalyst/src/main/scala/org/apache/spark/sql/catalyst/analysis/Analyzer.scala,SPARK-30001,2019-11-22 12:14:00
core/src/main/scala/org/apache/spark/network/netty/NettyBlockRpcServer.scala,SPARK-30025,2019-11-25 11:59:00
core/src/main/scala/org/apache/spark/shuffle/BlockStoreShuffleReader.scala,SPARK-30025,2019-11-25 11:59:00
core/pom.xml,SPARK-30030,2019-11-25 19:48:00
scalastyle-config.xml,SPARK-30030,2019-11-25 19:48:00
core/src/test/scala/org/apache/spark/util/PropertiesCloneBenchmark.scala,SPARK-30030,2019-11-25 19:48:00
sql/hive-thriftserver/src/test/scala/org/apache/spark/sql/hive/thriftserver/CliSuite.scala,SPARK-30049,2019-11-26 20:49:00
sql/hive-thriftserver/src/main/scala/org/apache/spark/sql/hive/thriftserver/SparkSQLCLIDriver.scala,SPARK-30049,2019-11-26 20:49:00
sql/hive/src/test/scala/org/apache/spark/sql/hive/HiveExternalCatalogSuite.scala,SPARK-30050,2019-11-26 21:43:00
sql/hive/src/main/scala/org/apache/spark/sql/hive/client/HiveClientImpl.scala,SPARK-30050,2019-11-26 21:43:00
sql/core/src/test/scala/org/apache/spark/sql/DataFrameNaFunctionsSuite.scala,SPARK-30065,2019-11-28 00:29:00
