File,LinesCount,LinesAvgLength,LineCodeProportion,LineBlankProportion,TypesCount,ClassProportion,TraitProportion,MaxChildren,MethodCount,PrivateMethodProportion,ProtectedMethodProportion,MethodOverrideProportion,FinalMethodProportion,VarLocalCount,VarFieldCount,MagicNumbersCount
core/src/test/scala/org/apache/spark/ThreadingSuite.scala,247,31,0.8421052631578947,0.07692307692307693,2,0.5,0.0,1,9,0.1111111111111111,0.0,0.7777777777777778,0.0,0,9,5
core/src/test/scala/org/apache/spark/api/python/PythonBroadcastSuite.scala,58,39,0.6379310344827587,0.10344827586206896,1,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0,0,0
core/src/test/scala/org/apache/spark/api/python/PythonRDDSuite.scala,149,36,0.7516778523489933,0.1476510067114094,2,1.0,0.0,1,4,0.0,0.0,0.75,0.0,0,1,1
core/src/test/scala/org/apache/spark/benchmark/BenchmarkBase.scala,72,33,0.5277777777777778,0.1388888888888889,1,1.0,0.0,0,4,0.0,0.0,0.0,0.25,0,1,0
core/src/test/scala/org/apache/spark/broadcast/BroadcastSuite.scala,318,37,0.7672955974842768,0.14150943396226415,3,0.6666666666666666,0.0,1,7,0.2857142857142857,0.0,0.0,0.0,6,0,20
core/src/test/scala/org/apache/spark/deploy/DeployTestUtils.scala,117,35,0.7606837606837606,0.1111111111111111,1,0.0,0.0,0,10,0.2,0.0,0.0,0.0,0,0,13
core/src/test/scala/org/apache/spark/deploy/ExternalShuffleServiceDbSuite.scala,143,37,0.7342657342657343,0.13286713286713286,1,1.0,0.0,1,4,0.0,0.0,0.5,0.0,0,6,1
core/src/test/scala/org/apache/spark/deploy/ExternalShuffleServiceMetricsSuite.scala,67,37,0.6567164179104478,0.11940298507462686,1,1.0,0.0,1,2,0.0,0.0,1.0,0.0,0,2,0
core/src/test/scala/org/apache/spark/deploy/IvyTestUtils.scala,406,39,0.8201970443349754,0.0665024630541872,1,0.0,0.0,0,17,0.6470588235294118,0.0,0.0,0.0,3,0,1
core/src/test/scala/org/apache/spark/deploy/JsonProtocolSuite.scala,189,38,0.8095238095238095,0.1111111111111111,2,0.5,0.0,1,1,0.0,0.0,0.0,0.0,0,0,10
core/src/test/scala/org/apache/spark/deploy/LogUrlsStandaloneSuite.scala,80,36,0.6375,0.175,2,1.0,0.0,1,1,0.0,0.0,1.0,0.0,0,0,2
core/src/test/scala/org/apache/spark/deploy/RPackageUtilsSuite.scala,177,39,0.8135593220338984,0.1016949152542373,2,1.0,0.0,1,4,0.25,0.0,0.5,0.0,0,0,0
core/src/test/scala/org/apache/spark/deploy/SparkSubmitSuite.scala,1549,37,0.42027114267269206,0.11491284699806327,9,0.4444444444444444,0.1111111111111111,2,27,0.3333333333333333,0.0,0.3333333333333333,0.0,3,3,4
