Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,SPARK-33571,13342812,Handling of hybrid to proleptic calendar when reading and writing Parquet data not working correctly,maxgekk,simonvanderveldt,Major,Resolved,Fixed,26/Nov/20 10:54,09/Feb/21 02:39,
Bug,SPARK-31598,13301610,LegacySimpleTimestampFormatter incorrectly interprets pre-Gregorian timestamps,bersprockets,bersprockets,Major,Resolved,Fixed,28/Apr/20 16:41,09/Feb/21 01:54,
Bug,SPARK-30795,13284702,Spark SQL codegen's code() interpolator should treat escapes like Scala's StringContext.s(),rednaxelafx,rednaxelafx,Major,Resolved,Fixed,12/Feb/20 01:17,09/Feb/21 01:52,
Bug,SPARK-27497,13228714,Spark wipes out bucket spec in metastore when updating table stats,bersprockets,bersprockets,Major,Resolved,Fixed,17/Apr/19 23:22,09/Feb/21 01:51,
Bug,SPARK-28367,13244596,Kafka connector infinite wait because metadata never updated,gsomogyi,gsomogyi,Critical,Closed,Fixed,12/Jul/19 12:02,09/Feb/21 01:51,
Bug,SPARK-34200,13353902,ambiguous column reference should consider attribute availability,cloud_fan,cloud_fan,Major,Resolved,Fixed,22/Jan/21 05:16,08/Feb/21 13:54,
Bug,SPARK-34319,13356089,Self-join after cogroup applyInPandas fails due to unresolved conflicting attributes,Ngone51,Ngone51,Major,Resolved,Fixed,02/Feb/21 02:53,08/Feb/21 13:54,
Bug,SPARK-33813,13346400,JDBC datasource fails when reading spatial datatypes with the MS SQL driver,sarutak,mswit,Major,Resolved,Fixed,16/Dec/20 17:40,08/Feb/21 13:54,
Bug,SPARK-34292,13355465,NOW is interpreted as the NOW SQL function,,gmines,Major,Resolved,Duplicate,29/Jan/21 15:56,31/Jan/21 04:55,
Bug,SPARK-32866,13327256,Docker buildx now requires --push,holden,holden,Trivial,Resolved,Fixed,13/Sep/20 00:06,28/Jan/21 19:58,
Bug,SPARK-32120,13313879,Single GPU is allocated multiple times,,EnricoMi,Major,Resolved,Not A Bug,28/Jun/20 18:50,27/Jan/21 08:03,
Bug,SPARK-34217,13354211,Fix Scala 2.12 release profile,dongjoon,dongjoon,Major,Resolved,Fixed,24/Jan/21 22:20,24/Jan/21 23:01,
Bug,SPARK-31786,13306511,Exception on submitting Spark-Pi to Kubernetes 1.17.3,dongjoon,maver1ck,Blocker,Resolved,Fixed,21/May/20 15:19,19/Jan/21 21:59,
